vehicle_year,make,model,vehicle_type,license_number,vehicle_state,serial_number,usdot_number,empty_weight,registered_weight
2008,Lamborghini,Murciélago,pulvinar lobortis,GFY 6891,PA,PL80 6482 5563 8546 8293 8760 4650,9362307,19037,12569
1997,Dodge,Caravan,magna ac,XTS 7861,IN,IL44 3875 3304 0498 3240 682,2836248,9428,16974
1999,Toyota,Sienna,est,ECV 3433,IN,ES11 9391 7747 2575 1072 3265,7702020,15918,3543
2011,Nissan,Cube,sit,KPF 8477,FL,FR45 6535 6361 61QB AQPS 8EIO 682,8302759,14425,2972
1987,Pontiac,Chevette,purus,WQM 9055,TN,IT05 L172 6085 397K DOY3 FGOW M67,1425342,16581,18156
1994,Toyota,Tercel,morbi,YMW 4623,FL,IE02 QMFI 9018 6758 3105 17,9129563,7096,5698
2007,BMW,6 Series,ipsum,SYA 2859,CO,SM30 O532 4817 289Y AJBB QZOG AUS,5109805,12074,19237
1997,Volkswagen,Cabriolet,dapibus dolor,TFX 3529,IA,GB27 UMJR 7095 5830 6327 13,8900808,8405,16634
1998,Subaru,Forester,proin,BQU 3858,CA,SI92 1844 1972 3829 580,2011786,15474,10066
2000,Kia,Spectra,maecenas tincidunt,KQT 1114,FL,ME88 7019 7264 9201 0924 07,4278931,17072,2375
2010,Maybach,57,dolor,DCG 4918,CT,AD07 2418 7146 1XSN QBTQ 4Q4B,7208980,18291,11732
2003,Mitsubishi,Pajero,odio justo,QWX 1419,MO,CR85 5399 8667 8838 2816 1,5272868,12229,17922
2003,GMC,Yukon XL 1500,integer aliquet,GJO 0304,AL,DE61 2261 2904 2121 6228 00,6843028,11763,5600
1999,Oldsmobile,Intrigue,quis,HAS 5164,NE,FR46 4954 8415 624G 6GE9 QQYZ N89,8803134,5540,15750
2008,Hyundai,Tiburon,accumsan tellus,TCU 0532,KS,PS12 MFPU 7DDM TJXB EEG0 JPC5 BICW F,5991560,4512,5462
2001,Mercedes-Benz,S-Class,maecenas,TRK 1347,OK,AD92 7439 3101 EECQ PNT4 5OFX,1329726,14115,17584
1990,Pontiac,Firebird,pede,WDT 7634,WV,AT75 7896 0859 3828 9781,1337682,18854,13258
2006,Audi,A3,ultricies eu,ABR 0571,PA,TR22 6938 9NH5 WUVQ KEMT CMT6 7Q,1356603,10878,17920
2002,Volvo,C70,duis,BIW 3313,IA,MK51 979Q YAU5 BNEK C48,3862838,11223,2673
2012,Ford,Focus,vel,VNK 0906,NM,EE74 9319 3068 4033 6357,3576561,18783,14410
2011,Audi,Q5,ante ipsum,BZK 2125,MO,LT70 1056 2287 5275 3245,9308821,14173,14795
1994,Volvo,960,odio,QZW 7968,CA,FO32 3260 2399 8154 08,7662159,13750,10192
1995,Dodge,Spirit,amet,OIK 9944,NY,LV55 UKCN QV2K PWKY NHL8 V,1730200,7643,13292
2004,Oldsmobile,Alero,dignissim vestibulum,UHQ 7421,CA,KW29 FTTH VIOZ S61K 68HZ SRQQ GK88 EX,4788986,18711,16050
2003,Cadillac,Escalade EXT,nulla tellus,RGA 9694,MN,AE10 3955 2836 5122 3701 980,4122650,14732,8192
2002,Chevrolet,Malibu,et ultrices,RVN 3700,GA,PL36 9105 7064 2907 7894 0564 8248,8325868,7276,6516
2001,GMC,Jimmy,pretium,BVT 7838,SC,SM28 V192 2180 1163 VVKI LUX4 HGN,5518389,14155,7958
2006,Audi,A4,pulvinar,FDR 9241,FL,FR64 2742 8571 94OW WCLW ZY7L X98,6410905,2069,17335
2009,Bentley,Continental GT,tristique fusce,XJS 6180,SC,GT03 ADV6 JEEE 5IZ1 HKMY VRQJ 5TB3,0899263,15768,14014
2003,Mazda,Mazda6,id,DIP 5840,FL,ME06 3424 2276 6210 4684 52,5329051,10838,19475
1993,Mazda,B-Series,nulla facilisi,SOG 4508,IL,NO18 4724 4544 236,9541958,18668,7304
2012,Hyundai,Accent,justo eu,YMC 5568,MA,BG73 YKYD 2769 53SZ W1A1 GG,0051121,17894,3660
2005,Lincoln,Town Car,augue aliquam,DIQ 5768,CA,FR03 5264 4178 38KN OCLR MVSE 751,0633104,3833,16648
2008,Lexus,RX,nisi,JBA 5675,FL,FR98 7249 5928 7937 LZZQ Q618 D62,9369742,14560,14097
2000,Pontiac,Firebird,quam,YLC 5274,CA,EE38 4092 3119 3808 5707,9456016,9448,14219
2006,Kia,Rio,praesent,BGQ 5303,TX,LT98 1944 1033 5145 0363,0523200,5628,3531
2003,Kia,Spectra,eu,KCO 8469,VA,FR30 3920 8532 65FX SG7Z HG3E C42,9950110,11237,14516
1992,Isuzu,Amigo,ultrices,UFS 7286,MN,SK87 8777 7644 9431 0686 8912,8823840,7378,2245
2004,Infiniti,M,nec,WJV 0325,NY,CZ07 8460 9420 9178 2504 5610,9225259,5309,2794
2010,Lincoln,Navigator,in,JTZ 1817,NY,PL69 2015 8765 7590 8956 1937 4201,6998947,10010,11525
2006,Mitsubishi,Endeavor,quisque erat,QMX 2792,IL,FR32 2060 3772 03NC SFXA OEMA M23,5356607,17582,19061
1997,Plymouth,Breeze,mattis,IFZ 1408,TX,AE74 7768 5611 9378 0634 992,8208274,6143,3333
2004,Chrysler,300M,lobortis,ZRW 4040,MN,AT21 9098 7223 0482 2566,3080455,11038,19572
1991,Pontiac,Sunbird,dapibus,XDL 8507,CA,BG39 COXA 5346 35HE Q0JO IZ,0644246,17546,17558
1999,Cadillac,Catera,pede,GIB 6294,TN,RO68 HXUF GY4C K723 WHSD LKNU,2285226,6986,19876
1995,Dodge,Neon,ultrices,WUL 2235,PA,RO71 BYGR NHXS BSND 93YC 7SRY,9312211,19374,5680
1989,Mazda,RX-7,vulputate,PUJ 8395,FL,GL79 5887 4967 2735 11,4883998,14774,11525
1986,Ford,E-Series,sit,OJK 5795,IL,FR13 3184 9162 047C AQOZ 80BJ J36,8166951,7191,2056
2008,BMW,Z4,orci,POG 5648,IN,AE88 4452 7181 9025 8812 325,5484502,16108,9308
1975,Chevrolet,Monza,proin risus,UOT 6295,TX,SM47 Y447 8971 125A NPZ4 HHIT IRS,5487605,11716,7336
2003,Ford,Crown Victoria,donec,ZBT 3830,VA,MK14 442C BGJJ QLPM Q77,2819398,19288,9024
1996,GMC,2500 Club Coupe,ultrices posuere,LKH 8783,MA,FR77 4910 6796 593L WXUU LPBQ I68,0540732,5927,8723
2001,BMW,Z3,non,CNO 2008,OK,FR85 4067 8901 59QP UZJI QOFV 668,6830010,13191,7933
1991,Ford,Aerostar,aenean,KHF 8818,PA,PL61 7394 7464 1407 2231 2975 8708,6078532,13001,18005
2009,Nissan,Xterra,nisl nunc,XRT 9053,NY,LI61 6480 0ENC RMYB LFA4 O,4384513,17202,7557
2011,Toyota,4Runner,sem duis,MLH 1528,MO,BE27 8213 8265 3092,1619769,2546,8806
1998,Buick,LeSabre,felis donec,OZB 3804,KS,RO03 ZJYS HVT0 BWB4 Q0CT WNYU,6204496,9237,14524
1992,GMC,Yukon,eu sapien,PXO 8019,AL,BG43 RSFR 8739 93ZH UKME 6L,2251929,18729,15248
1992,Dodge,Monaco,in,YKZ 1892,GA,RS91 2671 8578 0379 9552 07,3351141,2038,16799
1994,Dodge,Ram Van B150,aliquam,YDS 5710,CA,LB80 4383 TLS9 JZFK ZUFC EAB2 7HU6,7379702,17419,6792
2006,Honda,Ridgeline,ac nulla,MIV 1317,DC,FR72 0978 1922 23I7 WXYJ KALE 053,6455109,6463,19184
2008,Volkswagen,Touareg,ligula,NOC 3668,KY,PL80 5292 0507 9474 2432 3428 2016,4123319,13149,18665
2006,Cadillac,STS-V,sit amet,OBR 0944,FL,MK03 1224 RGRU UYPY D31,1864764,4417,7380
2007,GMC,Acadia,velit vivamus,QZJ 8968,IN,SK90 1541 9969 2017 3002 7675,7625030,13114,12946
1988,Mazda,B-Series,turpis,ILV 3129,IL,GB63 JNKR 9090 7805 5345 99,2873541,19569,12630
1995,Volkswagen,Golf III,odio,NDI 7431,NY,ME54 3373 0798 7519 1570 06,9902963,9086,16381
1993,Dodge,Dynasty,praesent lectus,HAP 0871,FL,MK81 016C NFT3 O7SW 715,5664459,7540,17037
2001,BMW,3 Series,sapien varius,MPY 8547,IL,NL97 WIUZ 7718 4379 88,3074380,12361,4923
2008,Acura,TL,at vulputate,GNH 5989,MO,TR52 8871 9N0O GIZN WOVT MIJU F9,5282181,4477,9842
1998,Chevrolet,2500,quisque ut,OUL 1363,CA,EE15 4103 0666 7501 1762,9692311,7436,9849
2007,Toyota,Highlander Hybrid,nulla facilisi,ZLX 5568,UT,AD56 9352 1662 STX7 KST6 Z6OJ,3720439,12609,19824
2009,GMC,Sierra 2500,rutrum,LRV 7810,CO,IT75 X362 1500 214K VBBR W4LO LTC,7264207,17389,15915
2008,Hyundai,Tiburon,quisque porta,YTZ 4540,DC,BG03 ZXBB 3130 47UJ RZWM NT,9665177,5116,10511
1996,Mazda,626,vestibulum,AZH 8406,OK,DE59 8943 9161 0772 4352 14,9134374,18364,2293
1992,Chevrolet,Sportvan G10,aliquet ultrices,ICN 5887,KY,FI67 6260 6763 1310 40,9625947,7607,9208
2002,Volkswagen,rio,dui,SIP 5343,IN,FR80 9689 8183 19ES 2WCH OEGR T57,6213297,19493,4446
1985,Honda,Accord,eu,NIX 3119,SC,IT24 Y142 9626 639U ZR2P 7DXK VZH,6474593,14358,5799
2010,Mercedes-Benz,C-Class,nulla tellus,QEL 3519,FL,FR19 9618 1757 02MC VEVD 1RP4 I94,6154387,3393,19327
1999,Mercedes-Benz,C-Class,dapibus dolor,DWS 0113,KY,SM65 N982 8404 851I 6IDH SFZ3 WAX,1689438,8900,3458
2009,Volkswagen,GLI,faucibus orci,JVG 4333,CA,GT31 D0PZ YU2M C364 L4QE HGQO A0TN,9542102,14376,5904
1998,Volkswagen,Cabriolet,justo,FKG 7825,NY,PT78 8067 5793 6444 3134 5724 6,8747517,4298,13322
2007,Toyota,Highlander Hybrid,integer non,WQM 0331,MI,KZ72 418R WTTK ZASQ BMLC,2907822,6430,4676
2009,MINI,Cooper Clubman,massa donec,NXS 4439,TX,FI95 8666 0490 7116 33,6251600,15337,19499
2009,Ford,F150,posuere,YFT 1736,CO,PS52 KCXY E7XA 7E0S 6FXK PHMO FLOF U,5202099,10177,4332
2005,Aston Martin,DB9,sagittis,OVS 1190,TX,LI75 8249 246I PWXW OWSN V,5506319,14729,7868
1994,Ford,F250,pretium,CJO 5348,FL,SE62 4876 8397 4011 6498 1247,4470966,7289,10837
2007,Mercury,Grand Marquis,sapien a,UAQ 7227,SC,KW52 TRGO VJXR ORVU UMN4 HNR0 DZ4E EI,0726434,5525,14685
1995,Land Rover,Discovery,suspendisse,UNE 1372,LA,AT11 4220 4783 9259 2998,1568397,17596,3163
1989,Plymouth,Laser,vestibulum,GQZ 6301,GA,FR59 0160 0293 03LG YD0W DLGK 817,3125896,17231,13187
2011,GMC,Sierra 3500,libero nam,OZX 5131,TX,BR06 3597 8918 2726 8597 2885 984C N,5788563,15151,13528
1989,Mitsubishi,Starion,id justo,OUV 1070,AZ,FO40 6319 5724 2065 13,9049972,7076,5114
2005,Ford,F150,pede,RFA 8923,LA,MT60 HECU 4035 5GS7 RACU K2IT ZXP2 KPK,3389999,19684,5775
1999,Mercury,Mountaineer,consequat,RZU 6925,TX,FR31 4485 8503 51GX L0AL Q3QP O37,1508336,2025,13182
1998,Audi,riolet,adipiscing,MPJ 4397,OH,FR10 3123 9500 83YQ RGHJ E1Y1 L69,7002144,18907,12170
2009,Ford,E150,pulvinar nulla,DHQ 7054,CA,CZ27 2976 9177 1623 0646 8034,4216837,4189,4850
1993,Geo,Prizm,a,PZW 5638,OK,DO37 3ASA 2013 5802 1340 4814 2891,8229073,18689,8672
2006,GMC,Savana 3500,congue,VUJ 5539,IN,FR16 0994 2643 81DI MHXI YOFH R72,5666868,8624,18183
1994,Isuzu,Rodeo,in,LDP 4640,NV,HR64 6894 8193 9937 4861 0,2925678,9943,13950
1990,Lincoln,Continental Mark VII,tempus,DYB 7288,FL,BG92 QJVF 1609 71H2 BXTQ H5,4216006,19356,9363
2008,Toyota,Camry Solara,tortor quis,JZQ 4982,FL,FR54 0800 2716 07RF YX9L 9I2U H82,5023649,8524,8940
2000,Volvo,V70,luctus ultricies,RWZ 3435,OK,FR73 7347 7292 936L CIWT AD0A 121,9121271,5385,11695
1985,Mitsubishi,Pajero,vivamus,KHJ 9013,IL,BE30 0832 3700 6634,4259522,11037,2575
1997,Hyundai,Tiburon,consectetuer,XGQ 2540,NY,FR25 3430 6669 380G VM2Y ICXQ R34,8567906,19130,16424
1993,GMC,Suburban 2500,rhoncus mauris,UGV 9501,DE,AE60 6093 0950 7528 3816 631,9860432,10353,3040
1986,Volkswagen,GTI,curae mauris,PLF 7037,NH,GI75 QOXJ H2VA 5ZW8 4AUA KAS,0255434,16519,16444
2005,Chevrolet,Equinox,ante,JHY 5627,FL,LI06 6559 8ZFU GHKY XN2L F,2785521,10023,16005
2007,BMW,530,nonummy maecenas,LBF 6184,PA,KW68 COGY XVDS D2AN 4A5M R0NY PEKO FF,3942725,19868,6041
2004,GMC,Sierra 2500,semper,PJA 8025,FL,PK67 NCXE CXDH AJSM UQIM SHEL,1067126,15320,11877
2009,Acura,RL,tortor,OIK 8000,NE,EE17 0857 8147 9257 9801,0599523,16521,2410
1997,Dodge,Ram Van 2500,vel,UEK 9305,NE,FR77 7089 4945 56VD W3AB XKSZ A35,0879682,9842,6914
1984,Mercury,Lynx,tempus semper,TYW 8555,CA,EE54 2749 9648 1501 2050,2931617,5139,9692
1997,Dodge,Grand Caravan,justo pellentesque,BGQ 3454,TX,PL64 1780 1716 8282 8471 4171 8212,6653897,11306,11825
2000,Chrysler,Sebring,ultrices enim,HKF 6374,DC,FR50 1755 3140 70QX ILYH HUUW S65,0156060,6566,14695
1992,Honda,Prelude,dapibus augue,BTQ 7084,TN,GI05 KBSW U3QH 9LCS WYI1 AVV,3059772,15479,16363
2005,Acura,RL,eu felis,VPU 1285,ID,EE80 9921 0036 6105 5795,4535559,13180,10694
1993,Hyundai,Elantra,cubilia,NYU 9690,CO,FR44 4658 7685 71Z7 SKCN IWCY 856,4153963,6608,10372
2006,Saab,9-5,faucibus,USP 4908,DC,CZ89 1207 3512 2481 0938 4128,4692597,17720,11724
2009,Honda,Element,ultrices posuere,RNI 9829,MI,IE86 LTTZ 4699 5270 7587 02,0498178,10810,16219
1994,Toyota,Supra,ipsum,TBM 5850,TX,MC71 7280 1486 43HY ENJO PCXU Y11,4720399,6475,3590
2009,Mitsubishi,Endeavor,justo,GMD 3415,PA,IT07 M061 3067 289R ZSW2 L3ON NXR,3986741,16281,5854
2002,Dodge,Intrepid,ultrices posuere,BSC 9315,IL,CY16 4347 0654 AADD Q7TG Z8V5 PRZL,6496551,9554,11535
2010,Saturn,VUE,ut,HXI 7961,MA,MD37 MU9R OYZU 1KMC KMVX N0SQ,8935185,18099,18293
2008,BMW,X5,sed vel,HKQ 9093,AL,KW41 HLAJ JKUM J7RI 74QV XLT1 MLV9 WC,2513822,10094,2487
2009,Chrysler,Sebring,consequat dui,ICD 1530,VA,PT45 6238 2396 0216 1982 2357 0,0755417,12843,18689
2000,Ford,Th!nk,nibh fusce,SBW 3139,TX,GT78 LL1C QBML 9WXX O0PJ UQ5C N9J8,3703100,11098,14691
2006,Isuzu,Ascender,faucibus,FTG 0179,OH,FR51 6898 1219 86V3 TMHM 4JFZ 763,9844406,12062,3585
1995,Cadillac,Seville,mi pede,OXK 2676,MI,FR21 6814 2980 27VK 00UF TVBC L92,2576354,9942,3571
1997,Mitsubishi,Eclipse,mi pede,NIJ 0759,FL,GL66 5558 0041 0661 02,8837241,19810,6829
2012,Mercedes-Benz,GLK-Class,nisl,GUR 8187,MI,DE47 0223 0744 2979 1371 65,7247515,12325,6385
1985,Pontiac,Grand Am,vestibulum,BAF 3848,TX,FR11 8149 7377 03EI TTAN VDXK X07,0453406,3343,9475
2002,Mazda,B-Series Plus,lacus,DVB 4622,MN,BE15 1876 9005 2150,2673000,2083,7824
1995,Jaguar,XJ Series,vestibulum rutrum,NSK 5618,SD,DE80 6699 0311 6248 3726 08,3313689,14021,11529
1993,Chevrolet,S10 Blazer,sit,UQX 2419,KS,CR18 1879 6032 2904 1876 6,9993648,14923,4091
2007,Saturn,Aura,nulla nunc,KJU 1041,CA,TN40 6943 9959 3376 8980 5810,8883346,14693,9544
1997,Toyota,Tacoma Xtra,at,ABJ 5663,CA,MR20 1494 0403 4869 6298 3960 841,1713311,17818,5568
1989,Honda,Accord,commodo,WZT 9902,MN,LU33 634N GHYX DBSF NRXU,0867653,16335,12701
2003,Audi,Allroad,ultrices posuere,IAO 0459,NY,AD21 2311 9834 YNGJ 1OCI SA1E,1821102,15776,12451
2001,BMW,525,ac consequat,JXZ 3060,IL,TN53 4689 6026 9163 2093 6699,2198710,17594,2578
1995,Cadillac,Seville,nascetur,RNC 8249,NC,IE76 ONIL 9394 5878 4426 61,0455220,12766,4625
1995,Chrysler,Sebring,pretium iaculis,IUT 9317,MA,NL54 IVKH 5128 8325 84,2953441,8896,4560
2005,Lexus,LX,lectus suspendisse,JLF 8043,WA,LB31 9337 KHW8 J5SJ XHGJ WTTP 2MLC,1763025,6501,9271
2008,Jaguar,X-Type,nulla suspendisse,IDT 6027,IN,RS92 8093 7042 0194 4759 00,0239040,16246,17077
2002,Lincoln,Blackwood,donec dapibus,IGZ 1008,MO,PT32 4368 4387 5086 4011 8220 8,6127207,13969,8475
2004,Ford,F250,neque,SMG 0523,TX,BE50 7114 0007 4611,5812142,15295,3688
2009,Chevrolet,Colorado,tellus,ZRG 1357,PA,AT70 5320 8720 8915 8659,3166825,13430,17781
2008,Audi,RS4,et,MJT 9696,CA,CH44 3102 8AHL HK0Q ZLNW 3,6165654,8596,12071
1985,Pontiac,Bonneville,pellentesque,QNS 8669,MN,FR87 2799 9047 36OZ 0GCR EREL D05,3253142,12089,7521
2006,Saturn,Ion,orci,IZG 6709,KS,AT91 4209 8992 4051 5065,5997355,19610,7327
2003,Volkswagen,New Beetle,eu tincidunt,MXA 8053,FL,FR75 1977 4358 26IX N01O 2RSM D36,4953387,7767,15612
2006,Porsche,911,sapien,NOA 5889,TX,FR56 5307 3712 10YK 0W6I YJYD Y75,5468384,19659,10641
2007,Chrysler,Aspen,sit,CGD 6336,OH,DK18 5704 0761 4219 28,8230110,18059,17011
2012,Hyundai,Accent,tincidunt,MYD 3399,CO,CY80 2446 2821 0POY 1F2P 89CT K7YW,3293483,11625,19354
2010,Mitsubishi,Lancer,odio,FAJ 9183,CO,HR88 6581 1322 9223 0436 0,9501737,12771,9889
1995,Toyota,Corolla,dui vel,FZY 5215,TX,FR25 6794 6206 6241 FPOV 6KWP W31,8936855,17438,13742
1994,Mitsubishi,GTO,nisi,DVW 5569,OK,GI16 UZPB QL41 R2ME 6NJQ PPO,0888583,15788,18567
2008,Volvo,V70,nec euismod,SBY 9838,NC,KZ95 011N 26Y4 3K2M 1UIQ,1003599,2662,16530
2002,Chevrolet,Astro,quis,QFV 0179,CO,GR14 0835 180V NWHY WFYY NQCL CUE,3998744,10786,15386
1995,Toyota,T100,suscipit,HCP 9908,TN,GB16 EOHZ 1543 2507 6886 56,6989906,4179,14986
2010,Kia,Soul,platea dictumst,XZA 3989,FL,FO33 2334 0425 9103 76,2135051,2357,18038
2007,Chevrolet,Tahoe,iaculis diam,OQI 6823,TN,PT85 4259 1800 9807 5387 4733 0,2556878,12845,7934
2002,Dodge,Ram 1500,in faucibus,HUN 8347,CA,FR64 2858 9745 30FM BN9B 0XF2 L92,7236130,19984,2814
2004,BMW,Z4,velit id,NLE 5594,MD,TN98 7332 9103 8561 6144 2825,0081183,11444,13261
1993,Chevrolet,Sportvan G20,duis,DYJ 7218,GA,PS22 OHYJ LNJA DQ2Y FXAX FRZC 28MT A,9731078,4736,2890
2009,Mitsubishi,Galant,eleifend,QJX 1333,CA,ME97 8511 1644 4912 0384 68,8199868,13743,16518
2006,Ford,Freestyle,sit amet,SPV 6625,TN,AD39 6643 0029 XNKP KGSQ 8BJU,8769432,11958,4545
1998,Mercedes-Benz,CL-Class,dolor,OBD 2357,TX,SI79 7727 9526 8184 838,4225885,17475,7528
1996,Dodge,Ram 3500,dapibus,QAG 4563,MI,DK75 8034 0638 2130 53,8728507,4348,9945
2013,Ford,Transit Connect,nulla quisque,BAY 4000,OH,PK93 EAYV ZYT0 NLES VSDJ UKFE,7210365,4739,15364
1993,Nissan,Maxima,amet,XNI 2404,GA,MD37 BHWZ TGIH DYUQ 1RCD RKDH,5765604,17713,17149
2000,Ford,Econoline E150,ante,NRP 6084,TX,MU62 MVRM 3343 0839 1904 2153 171B HQ,9260322,12585,15191
1996,Oldsmobile,Silhouette,sit,INR 9540,MI,FR20 1053 5949 2297 DCDN U9MA R31,5604537,11534,9576
2005,Chrysler,300C,nisi,MFN 4044,FL,MC72 3652 8144 12O9 OR5M UO3F Y00,8361684,5696,14083
1995,Mitsubishi,Galant,erat fermentum,HGM 3040,WI,GR19 2884 491I RIZW GVYT LOEK 3FX,5804545,3756,17245
2004,Hyundai,Accent,at,BIT 6850,VA,HR04 1227 5702 0126 6632 2,7147321,5055,14616
2004,Ford,E350,congue diam,FUR 2561,NM,DE49 5011 0095 7754 6427 51,6981808,14511,2925
1995,Chevrolet,Suburban 2500,turpis,VQW 5640,IN,LV70 EBRD RIHB QHJS KS9F E,4115026,18916,8290
1997,Dodge,Ram Van 3500,platea dictumst,TMF 4066,GA,GR24 5362 4810 TYCU QJ8K QZ0S D54,3079134,6460,9395
1988,Buick,Reatta,sed ante,ZEJ 7163,NY,IL70 6637 5424 2480 7936 418,4374314,4696,16268
2011,Mercedes-Benz,GLK-Class,sociis,EPQ 6098,AL,CR60 8879 0804 4801 8483 5,6095282,19421,18369
1998,Mitsubishi,Mirage,et,IBK 1500,TX,HR69 3013 0065 3498 4206 7,6018819,6801,10213
2002,Pontiac,Grand Prix,integer pede,GOC 3151,PA,FR50 9944 4025 84AY E0CI IWSW 331,6353697,5848,10448
1989,Suzuki,Sidekick,vitae,EOF 0054,CA,AZ97 NTQB W9EE MCAQ ICAD F0QW KX9Q,2633128,17667,16257
2010,Volkswagen,Golf,sit amet,RYW 6740,IL,TN20 8792 8918 3428 5926 5171,7056563,10528,3856
2012,Nissan,Rogue,sapien cursus,UEO 5850,VA,FR30 4257 9132 85SJ XTRG NBYV V53,1168192,7861,18563
1997,GMC,Yukon,purus,LNP 5343,TX,SK24 8795 8206 9855 6517 8370,0922965,13943,6408
2003,Ford,Explorer Sport Trac,volutpat dui,KDZ 9673,IA,AE30 9467 8018 4166 2218 277,7694450,13600,19035
2003,Porsche,911,pede,UQX 3508,NJ,AD07 6104 4626 65XO WJT0 XXTF,4963923,19057,5170
2000,GMC,Sierra 3500,eros,NGE 4073,NC,GB30 GFDD 7694 6004 1390 67,9584369,5761,17414
1996,Chevrolet,Suburban 1500,volutpat,XHI 7476,FL,CR38 2216 8738 5325 5644 0,7087353,3057,11191
1996,Audi,A4,facilisi cras,OMU 3585,NC,AL74 2944 7157 C8XK ID7E VRFQ UTUV,8096842,6901,3159
1998,Chevrolet,G-Series 1500,cras,IFR 4570,GA,MR41 2511 6715 5968 3197 8675 877,3265835,9541,3793
1992,Chevrolet,Corsica,nisl duis,MAV 1573,CA,TN32 0470 6533 1775 6856 9674,9458364,13803,14867
2004,Spyker,C8 Laviolette,enim in,QJR 2731,OH,ES46 0783 5530 8095 9212 6909,6812140,6289,15767
1992,Chevrolet,S10,integer,VEY 6043,NY,BG35 IVQF 8374 24FX 2JHF AT,9124567,18979,15234
2012,Volkswagen,Passat,interdum,OTU 4615,FL,IL13 8082 2492 8336 0778 026,7748144,2906,12881
2000,Lamborghini,Diablo,sapien urna,MHY 5987,TX,FR29 0954 8477 79UM 3H8W W7YV D59,6345942,19064,13153
2010,Volvo,S80,nulla integer,RUY 9476,IN,BR78 7603 0464 5844 7811 0420 417M 2,4404685,19178,19453
2004,Saturn,VUE,quis augue,BGX 5982,OH,AL27 3130 7418 CMKN WNZR P0QO 0QOM,5037632,9504,6304
2011,Mercedes-Benz,CLS-Class,dictumst,VGZ 3127,IL,PL06 3697 4590 8400 2633 4136 2153,4242853,5388,7209
1995,Chevrolet,G-Series G10,mauris ullamcorper,CBY 4070,TX,IT55 X593 7582 4312 DG9B ME6N H9Q,3490293,3919,3343
2000,Suzuki,Grand Vitara,nulla,BXC 0547,TX,NO94 2062 5762 904,0255688,5825,18479
2010,Mazda,CX-7,id lobortis,WEA 9369,CA,PS42 UHQL 2IIE FJOC GXQF UPJW ISNX 7,1752642,15081,6771
2004,Dodge,Viper,quam turpis,OST 9014,NH,BG03 NVUR 1060 45OZ R846 4L,2264307,8274,8369
1961,Pontiac,Tempest,velit id,JOW 1263,UT,KW71 JJEE STM5 LTZ2 NPAH XBUS DB7Q IJ,8510276,10708,10199
2010,Suzuki,Kizashi,pulvinar,URD 9249,SC,IT55 K758 2968 135O 95AC SEJG DYQ,3979017,2544,18064
1994,Oldsmobile,Silhouette,pharetra,TXS 6366,CT,FR65 6376 5932 25LH 7VDA 1G7R L81,5518642,14707,17324
1997,Isuzu,Hombre Space,cras in,ZJO 1602,OH,TN84 2596 0328 3138 5355 6571,1373225,4890,2297
2002,Toyota,Echo,sit,TCJ 3142,OH,BA60 1685 3339 4661 9201,3422095,17325,15867
1992,Chevrolet,Corvette,sed,ZTB 9581,KY,CZ23 3790 6405 7422 5336 1991,5427474,14620,18351
2009,Volkswagen,Eos,phasellus,XHK 1549,CA,FR53 8430 0420 359O WDHQ OGFA W59,6789017,19822,13104
2006,Honda,Element,eu,ZNI 1849,FL,ES27 0991 2139 0789 7397 9509,3401956,4102,15006
1999,Chevrolet,Tracker,in leo,FPU 3855,PA,FR48 3053 8501 29CG TVDU FEOV 247,2817976,13726,9397
2003,GMC,Yukon XL 1500,maecenas,XOA 5600,LA,AL95 0879 3384 FMRX 5K1D E7N7 QF6X,2658886,17655,15702
1999,Chevrolet,Cavalier,dui vel,OVK 8146,AZ,AT55 8084 8327 7165 1344,0959851,18612,5963
1994,Acura,Legend,montes,QWE 3827,MO,BG61 FEEZ 0182 65R8 XDKF EO,2287503,4160,10034
1999,Toyota,Tacoma,felis,PRX 1965,NY,FR27 0177 9222 92RW C65M MSSE G95,4055942,18968,7290
1992,Acura,Legend,et ultrices,URL 4715,PA,BR39 0917 5965 4750 4181 3288 542R V,7458150,9060,2611
1995,Mitsubishi,RVR,sapien a,PIA 5754,GA,RO84 ZCVU LGJS SY2C YHDF 3QVK,4103339,4741,18782
1991,Volkswagen,Jetta,a nibh,BAQ 8694,NY,DE26 3341 3013 0450 3041 99,9438967,8497,6258
1998,Suzuki,Swift,vel dapibus,MHR 4205,PA,FR50 1308 5121 1719 IX8R 818T U74,2104998,5714,14963
1998,Nissan,Maxima,tellus,PWF 4403,CA,TR54 2461 95GY A6S5 A9T2 JML7 4Z,8853161,16352,10922
1996,GMC,3500,lectus,HIV 1880,AR,AE26 6742 2236 0554 1320 055,2686963,9867,6676
2008,Dodge,Grand Caravan,etiam vel,TAM 2799,IL,NO98 7754 4509 523,0653641,7215,6220
2007,Kia,Spectra,quisque,PLT 4660,MO,DO40 O1KV 3873 9339 5204 6834 7249,2037335,6666,3611
1978,Chevrolet,Corvette,aliquam erat,BWK 1579,ND,HU39 3984 6366 5841 0959 7443 1588,1015755,10268,14202
1996,Toyota,Avalon,luctus,ONB 8391,VA,BH33 UAQO QJDP JJTI JPRW IG,6725493,4602,3881
2010,Audi,A4,eros elementum,KDH 8856,NV,FR78 2167 5917 21CM BASO QSWZ U07,0201811,16832,11485
2011,Kia,Optima,integer non,QLU 7228,OR,DK10 6489 7631 4949 37,6228720,14001,4039
