make,model,trailer_type,serial_number,license_number,trailer_state,trailer_description,empty_weight,registered_weight,regulation_weight
Mercedes-Benz,E-Class,justo,EE38 5464 3897 9646 1967,828 YLM,TX,Mercedes-Benz-E-Class License #: 828 YLM,10616,4768,12234
Pontiac,LeMans,ultrices,CR89 1044 8933 3820 1558 5,201 GSH,ID,Pontiac-LeMans License #: 201 GSH,14654,10451,14355
Volvo,S70,maecenas rhoncus,DE47 3247 5441 9478 9172 39,549 VEI,TX,Volvo-S70 License #: 549 VEI,5450,7276,8522
Lincoln,Town Car,magna,PL50 5777 1025 3632 2760 8562 5369,689 HLN,MI,Lincoln-Town Car License #: 689 HLN,17259,16962,6090
Suzuki,Grand Vitara,ipsum primis,FR90 1982 0379 79IX VKMJ FKZX U84,821 DJO,SD,Suzuki-Grand Vitara License #: 821 DJO,3134,9798,7569
Lexus,LX,suspendisse,CY44 4120 2313 YU4K LRM3 RCHR 4BHC,325 BFU,OH,Lexus-LX License #: 325 BFU,2746,11158,15943
Ford,Taurus,porta volutpat,FR54 1805 2673 16MB LM2C BQU6 S13,669 RBN,CA,Ford-Taurus License #: 669 RBN,13617,6160,6121
Dodge,Ram 3500 Club,mattis odio,CH47 4134 718D RNZW JCUP O,090 DXI,IA,Dodge-Ram 3500 Club License #: 090 DXI,3013,3870,13634
Mercury,Grand Marquis,ligula,GT57 DLLT USGQ SF12 G8PU J2PY A7W4,527 RFM,NM,Mercury-Grand Marquis License #: 527 RFM,18398,8098,10513
Mercedes-Benz,G-Class,donec posuere,FR52 1669 5840 52ZI ISKZ 9AM7 P91,423 LHX,NC,Mercedes-Benz-G-Class License #: 423 LHX,16363,2634,15691
Pontiac,G6,tristique in,FR17 0133 1980 29DO F4VA N9SV K59,424 XEQ,MN,Pontiac-G6 License #: 424 XEQ,4893,4038,18161
Honda,Odyssey,ultrices,SA23 83W4 KUKN YDT9 N7HC M8WX,158 CJE,MO,Honda-Odyssey License #: 158 CJE,12663,3492,16776
Mercedes-Benz,W201,pretium,BR07 4087 1710 4337 5534 2374 745M H,262 WRQ,OH,Mercedes-Benz-W201 License #: 262 WRQ,16076,8756,10665
Pontiac,Vibe,mattis pulvinar,AL96 1108 2693 WOYD TM5D 3GSI AI3L,741 BJC,TX,Pontiac-Vibe License #: 741 BJC,12395,12471,14095
Buick,Century,sed ante,MU49 EOBN 7195 3433 2249 9424 423Z QL,992 YMH,NM,Buick-Century License #: 992 YMH,18222,2244,17958
Ford,E150,lacus at,AZ02 JRXB DYXQ HCPX 6XIF KJAW A9CH,820 PYH,CA,Ford-E150 License #: 820 PYH,9063,18998,11940
Volkswagen,Passat,ut,GL94 4681 1783 0427 19,374 BFM,TX,Volkswagen-Passat License #: 374 BFM,18267,7878,3594
Toyota,Tacoma Xtra,mi in,SK33 5336 9902 4540 5961 8651,876 URS,PA,Toyota-Tacoma Xtra License #: 876 URS,8693,5952,6418
Pontiac,GTO,et eros,FR03 8640 1627 65HO BGML FS3J J26,899 QCM,OK,Pontiac-GTO License #: 899 QCM,16039,5862,3803
BMW,6 Series,dui,HR31 5114 2654 6321 7295 1,755 SMD,VA,BMW-6 Series License #: 755 SMD,8484,14588,3395
Mitsubishi,GTO,mus etiam,DO70 YXKT 4097 5767 0776 6394 4765,284 XEV,DC,Mitsubishi-GTO License #: 284 XEV,12535,4259,11666
Mazda,Mazdaspeed 3,nisl duis,GB36 IDGJ 3070 4126 6931 89,683 IUL,NY,Mazda-Mazdaspeed 3 License #: 683 IUL,19827,4195,8904
Volvo,XC60,ut,MD32 ZVEN ZPDH F0CG U7OR U9SO,883 VIA,AL,Volvo-XC60 License #: 883 VIA,11772,6195,4037
Ford,F350,est lacinia,LB49 6619 IGZJ PMU5 XCFQ A6LE Z8JM,721 XUJ,AR,Ford-F350 License #: 721 XUJ,17616,3957,17171
Suzuki,Sidekick,amet diam,AD88 9698 1778 OU0E PWVQ 0JHI,026 WVZ,NY,Suzuki-Sidekick License #: 026 WVZ,2390,6402,15593
Honda,CR-V,augue luctus,GE98 XI87 2617 5797 7863 38,027 ZGX,MI,Honda-CR-V License #: 027 ZGX,11318,14179,13218
Toyota,Celica,vel,GI77 MMML P7HZ ZXGG XKSE NYG,985 HPT,MI,Toyota-Celica License #: 985 HPT,12222,11270,17070
Volkswagen,Beetle,integer,PS67 LYJI 9NEG RZMJ V0NL FUC2 SBAD M,019 XMO,PA,Volkswagen-Beetle License #: 019 XMO,17306,3652,16997
GMC,Yukon,magna,FR63 4302 7610 39AM 16BO YA5F B23,241 LSJ,TX,GMC-Yukon License #: 241 LSJ,4194,4060,10203
Dodge,Charger,eros,GL45 9512 1546 3692 85,283 MRH,NC,Dodge-Charger License #: 283 MRH,13234,4590,8049
Dodge,Viper,sit,SI67 9766 3842 6144 207,406 VKT,CO,Dodge-Viper License #: 406 VKT,6918,13725,11485
Kia,Sephia,sit,MC50 8988 7348 77B3 80FX R6VH U25,640 NTA,KS,Kia-Sephia License #: 640 NTA,15726,16879,3272
Hyundai,Veloster,metus,PT59 6744 1392 8890 0612 9905 5,320 CWE,TX,Hyundai-Veloster License #: 320 CWE,18012,3677,16274
Suzuki,Swift,odio consequat,FR72 1087 4417 14RG VM4P P4S3 T78,676 XAN,SC,Suzuki-Swift License #: 676 XAN,3237,15357,5067
Ford,Econoline E350,mauris ullamcorper,DO77 QK1B 1297 3978 9413 7509 4281,691 JNZ,OH,Ford-Econoline E350 License #: 691 JNZ,9830,3681,18047
Saturn,S-Series,ligula in,SI06 1712 4269 3489 309,081 EJX,MO,Saturn-S-Series License #: 081 EJX,13122,15331,2186
Subaru,Tribeca,lacinia nisi,MR68 0660 3451 0899 6571 5463 951,322 FEL,ID,Subaru-Tribeca License #: 322 FEL,12271,19801,13272
Rolls-Royce,Ghost,lectus,BH34 KLFG ME2F EYQH FG7Q RC,638 FXL,TX,Rolls-Royce-Ghost License #: 638 FXL,7160,9590,14256
Ford,Mustang,ante ipsum,CZ57 7343 4777 7562 6796 4465,213 YMD,CA,Ford-Mustang License #: 213 YMD,13129,15055,5319
Cadillac,Eldorado,tortor risus,PS90 LERD 5NAZ FRLW PIAK MPJP IZAE 8,836 EDZ,LA,Cadillac-Eldorado License #: 836 EDZ,18707,9365,13829
Volkswagen,GTI,ante ipsum,LU93 254S RL3Z IAB8 KZKR,515 OKI,FL,Volkswagen-GTI License #: 515 OKI,5102,16023,3395
Pontiac,Sunbird,morbi odio,BR29 9501 5996 7669 9720 2521 987N C,000 RED,TX,Pontiac-Sunbird License #: 000 RED,5961,13880,4054
Dodge,Ram Van 2500,cum,BE48 9025 8697 7744,487 GND,CA,Dodge-Ram Van 2500 License #: 487 GND,19895,19859,11259
Honda,Accord,in consequat,PS35 AEMI EZOQ KKGL KRVS YBKZ Q18Z H,700 NKG,GA,Honda-Accord License #: 700 NKG,18309,14491,2058
BMW,Z3,nunc vestibulum,LI18 8124 9YHT DETJ E5IZ 2,708 CXH,AR,BMW-Z3 License #: 708 CXH,13744,10125,9576
BMW,3 Series,ipsum,CZ51 4700 9326 3315 9601 7939,683 MRF,OH,BMW-3 Series License #: 683 MRF,8042,6753,8088
Porsche,Cayenne,velit,ES30 8811 6623 5587 6963 3829,635 GCS,MD,Porsche-Cayenne License #: 635 GCS,18050,2271,13479
Ford,Econoline E350,nec,SK56 3657 7666 1706 5060 5122,669 HQI,CA,Ford-Econoline E350 License #: 669 HQI,5609,2243,15800
Ferrari,430 Scuderia,nulla sed,KW20 RMQE LIBW NRIB QOHC S7A6 EAI7 FN,466 TMB,GA,Ferrari-430 Scuderia License #: 466 TMB,2189,3350,11912
GMC,Sierra,suspendisse potenti,CY28 0955 3622 G7EI SD6J QRWH UHRF,600 IKB,TX,GMC-Sierra License #: 600 IKB,9250,15888,19021
Hyundai,Elantra,lacinia,CH56 8868 8R5F X6RX WEMD O,799 XTQ,WV,Hyundai-Elantra License #: 799 XTQ,7353,7358,17962
GMC,Savana 2500,euismod,DO66 QFNL 9627 1161 4393 6319 7542,418 FBT,WA,GMC-Savana 2500 License #: 418 FBT,19256,19262,14755
Lincoln,MKZ,at feugiat,IE33 KWZW 1037 0287 3441 76,897 BOP,TX,Lincoln-MKZ License #: 897 BOP,9623,9190,12800
Ford,GT,tincidunt eu,GL03 0196 3899 6980 04,233 VXQ,ID,Ford-GT License #: 233 VXQ,19764,15187,5140
Volkswagen,Jetta,ut,SM55 P911 6618 062Q N6GB X1NI MXK,150 APB,CA,Volkswagen-Jetta License #: 150 APB,12067,19752,2462
Chevrolet,Express,vitae,GE82 CP50 1738 8221 7220 55,187 GAC,AR,Chevrolet-Express License #: 187 GAC,14754,3969,13055
Mercury,Villager,imperdiet,FR80 4712 6320 51ER BGBL CWSS L05,820 BND,CA,Mercury-Villager License #: 820 BND,3334,13582,3396
Mitsubishi,Mighty Max,orci,CR47 6537 8614 1449 1607 7,686 UKE,SC,Mitsubishi-Mighty Max License #: 686 UKE,7337,14469,9864
Jeep,Cherokee,in,FR48 3519 9963 82FV PLMA 01RC A46,511 DOZ,NY,Jeep-Cherokee License #: 511 DOZ,9156,4247,17882
Chevrolet,TrailBlazer,erat,PS61 VNQP P38T 0AC3 LSSH W2SM EKZI 1,627 ILU,CA,Chevrolet-TrailBlazer License #: 627 ILU,10954,9555,2897
Ford,Expedition,nam,KZ90 624X O2M6 VOXI QEWL,217 ZES,TX,Ford-Expedition License #: 217 ZES,3377,14785,7320
Isuzu,Rodeo,aliquet,FR44 4270 9664 62R8 YLEI YPDQ H92,900 PQL,TX,Isuzu-Rodeo License #: 900 PQL,7961,6589,19499
Mercury,Lynx,id nisl,FR78 7123 2237 10N8 USPP HLTP 920,761 NCQ,FL,Mercury-Lynx License #: 761 NCQ,4615,19975,7325
Rolls-Royce,Phantom,congue eget,SK66 6957 2425 2381 6532 8922,199 PHG,PA,Rolls-Royce-Phantom License #: 199 PHG,16418,12723,2397
Porsche,Boxster,non,HU97 5009 5063 5473 4595 9395 1396,927 ZXB,NY,Porsche-Boxster License #: 927 ZXB,8306,18949,4198
Jeep,Wrangler,sem,DE55 1428 4733 1999 0300 61,100 EGJ,DC,Jeep-Wrangler License #: 100 EGJ,17288,18685,15490
GMC,Jimmy,amet nulla,ME53 4238 4549 5970 5610 00,280 UJD,WI,GMC-Jimmy License #: 280 UJD,2256,2046,12332
Mercedes-Benz,Sprinter 3500,enim sit,FR38 2200 7456 12KY YDZZ LOR5 Y08,543 FMG,NY,Mercedes-Benz-Sprinter 3500 License #: 543 FMG,12843,18948,3033
GMC,Sierra,ac nibh,DO78 M9LT 7888 1482 8596 1316 3628,845 NMF,TX,GMC-Sierra License #: 845 NMF,19465,18760,5347
Mazda,626,ante,IE09 DBFZ 3119 1279 6857 40,692 ISD,MN,Mazda-626 License #: 692 ISD,8115,6833,5240
Pontiac,Firebird,mattis,FR46 0936 6060 39P3 QN6R U8ZT N18,576 WVO,FL,Pontiac-Firebird License #: 576 WVO,17725,12548,2675
Kia,Rondo,varius ut,GL28 5453 9972 8539 16,114 AMG,VA,Kia-Rondo License #: 114 AMG,10816,17058,19328
Ford,Bronco II,habitasse,TN74 4737 9780 9880 7737 3495,344 RSN,WI,Ford-Bronco II License #: 344 RSN,16693,8831,15614
Chevrolet,Sportvan G20,orci,SK81 4122 3873 5616 1834 1394,831 RZF,CT,Chevrolet-Sportvan G20 License #: 831 RZF,13716,3880,18548
Hyundai,Santa Fe,consequat,NL68 YJGL 5643 0582 74,801 JVP,NY,Hyundai-Santa Fe License #: 801 JVP,2747,3150,15409
Toyota,Celica,faucibus accumsan,FR22 1547 2601 88TR 8JOH 9IHC R64,584 UTY,NM,Toyota-Celica License #: 584 UTY,5036,10638,3182
Daewoo,Leganza,duis,NO04 0430 9402 866,249 VFZ,GA,Daewoo-Leganza License #: 249 VFZ,18172,4408,3384
Chevrolet,Lumina APV,dui nec,FO63 2948 5652 7587 97,572 NSI,FL,Chevrolet-Lumina APV License #: 572 NSI,18477,12382,3355
BMW,7 Series,non quam,FR62 9854 9926 30E6 EG9C TEYV W20,481 VJX,FL,BMW-7 Series License #: 481 VJX,14301,12270,14749
Toyota,Prius,orci,MD40 BKNV I2ST S3IJ 8G9Q ZEM4,449 OYB,VA,Toyota-Prius License #: 449 OYB,18318,2185,14209
Toyota,Camry,faucibus orci,AE85 0801 6278 0792 9031 493,013 ERL,OH,Toyota-Camry License #: 013 ERL,7893,11982,3298
Lotus,Esprit,rutrum,TR43 7440 3KMO M6H8 FRFZ PPO2 UZ,338 KFL,FL,Lotus-Esprit License #: 338 KFL,19846,12557,16208
Lincoln,Town Car,integer aliquet,NO82 7571 2096 682,499 NUX,IA,Lincoln-Town Car License #: 499 NUX,13790,5780,14882
Isuzu,Trooper,praesent id,KW54 QDRX DL9A KG34 2FUJ H6X5 L25F FZ,053 CHN,TX,Isuzu-Trooper License #: 053 CHN,10000,16137,19331
Porsche,Carrera GT,cras,VG71 ALZM 4900 8728 5352 6023,895 KEI,TX,Porsche-Carrera GT License #: 895 KEI,6996,13428,12919
Acura,TL,quam nec,GB67 OOXO 1715 3985 4661 87,112 SOT,MA,Acura-TL License #: 112 SOT,15569,9936,14037
Volkswagen,New Beetle,et ultrices,PS28 UBSZ JM0K GYZJ 2ZOX LZ9C GZO3 L,673 WLJ,CA,Volkswagen-New Beetle License #: 673 WLJ,5419,2513,14694
Ford,F150,in lacus,NL75 LVFY 1085 1117 33,039 ERM,DC,Ford-F150 License #: 039 ERM,10658,13668,7394
Buick,LeSabre,quis,FR22 7723 4625 2866 6JTR TJSL D78,557 TOL,CT,Buick-LeSabre License #: 557 TOL,18986,10452,3652
Chevrolet,Express 3500,ac leo,MU82 JRSW 5971 1656 9685 7623 234L ZT,461 RVE,CO,Chevrolet-Express 3500 License #: 461 RVE,10474,3082,13113
Volkswagen,Jetta,curae nulla,BR87 8879 3203 4118 3863 9349 732K K,194 VGQ,AL,Volkswagen-Jetta License #: 194 VGQ,14445,19196,11018
Land Rover,Range Rover Sport,nibh,AT14 6830 1396 8562 3878,115 EVD,NY,Land Rover-Range Rover Sport License #: 115 EVD,18143,10459,17924
Mitsubishi,Lancer Evolution,amet,MU61 EEWI 6068 3990 5755 7503 768N GV,040 NRC,OH,Mitsubishi-Lancer Evolution License #: 040 NRC,10994,14891,9027
Subaru,Impreza,dapibus duis,FO04 2893 0806 7963 96,837 SNX,OR,Subaru-Impreza License #: 837 SNX,8109,8379,12662
Chevrolet,Malibu,eu massa,MC49 6548 2313 553N FMHZ AMPT M11,081 YLN,DC,Chevrolet-Malibu License #: 081 YLN,9494,5836,9059
Toyota,Camry,ut massa,KW54 QCVI PJYY LIWM I3SE 6FHZ XO6K BE,628 QIG,NY,Toyota-Camry License #: 628 QIG,3487,8350,13771
Scion,FR-S,nec,EE32 7852 5959 9614 3449,663 PUH,FL,Scion-FR-S License #: 663 PUH,9305,3167,12738
Land Rover,Range Rover,elit ac,DE65 9659 8813 5338 9671 15,666 ZPT,TX,Land Rover-Range Rover License #: 666 ZPT,3662,8397,4676
Suzuki,Sidekick,sollicitudin,CR40 2118 7195 3124 4545 9,779 LWM,WA,Suzuki-Sidekick License #: 779 LWM,13384,12924,8035
Honda,Passport,non lectus,CR79 9351 8485 9294 6508 7,935 DVQ,PA,Honda-Passport License #: 935 DVQ,3935,6353,13068
Infiniti,G,amet,TN25 3408 4466 5733 0467 4002,395 JSH,FL,Infiniti-G License #: 395 JSH,4065,14159,15928
BMW,6 Series,quis turpis,AL53 1533 6795 KCON R4RS FDOQ UHTL,304 JGC,FL,BMW-6 Series License #: 304 JGC,9263,15806,14274
Kia,Sedona,vel,FR80 2334 0375 34ZP 5AQP ZWUU F74,674 BUX,TN,Kia-Sedona License #: 674 BUX,10944,11192,2582
Suzuki,Forenza,vel dapibus,ME43 0405 0374 6314 0782 74,088 BCY,NY,Suzuki-Forenza License #: 088 BCY,4385,12201,18706
Toyota,Sienna,quis augue,HU94 0000 2307 8256 4054 8088 2975,101 SNQ,UT,Toyota-Sienna License #: 101 SNQ,16230,13570,6277
Mazda,Miata MX-5,dapibus at,PL04 1324 6507 5958 7243 2520 2352,417 OEW,CA,Mazda-Miata MX-5 License #: 417 OEW,3033,6973,5254
Porsche,914,mauris viverra,FR68 5823 8327 40EM BDZQ J3OE C76,313 EVA,FL,Porsche-914 License #: 313 EVA,12501,6397,18082
Mitsubishi,RVR,vel lectus,CR35 6222 4734 6447 5222 1,298 PFQ,VA,Mitsubishi-RVR License #: 298 PFQ,15430,18183,7368
Audi,A6,ipsum,FR09 7203 6657 01P0 OZQX WGKW H17,545 ZDO,NJ,Audi-A6 License #: 545 ZDO,8315,19816,9607
Ford,Taurus,eros vestibulum,FR78 2495 6431 39T2 GKOJ K8CF A87,296 BHO,NH,Ford-Taurus License #: 296 BHO,19353,11903,5922
Ford,Expedition,erat,FR55 4930 3114 19MI XTOY WOFL S04,224 TIK,MN,Ford-Expedition License #: 224 TIK,6216,7451,9561
Acura,NSX,eros,BH32 YIDS M8L8 NIUY RCZY 1O,892 IZB,AL,Acura-NSX License #: 892 IZB,13113,18336,2439
GMC,Envoy,tortor,DK31 4178 2775 3731 23,553 XSY,WA,GMC-Envoy License #: 553 XSY,15621,14083,14707
Oldsmobile,Cutlass Supreme,morbi vestibulum,CZ78 4099 7359 3693 0062 8372,571 WRA,NH,Oldsmobile-Cutlass Supreme License #: 571 WRA,15951,2645,10999
Chevrolet,Corvette,ipsum primis,FR76 2682 3298 14YS J0UY EJIA W86,617 PLG,AZ,Chevrolet-Corvette License #: 617 PLG,15045,8588,19418
Audi,A6,nec,EE60 0692 4447 3913 1032,058 IOR,TX,Audi-A6 License #: 058 IOR,4627,12119,12454
Hyundai,Accent,fringilla rhoncus,AE57 0673 5960 8583 2305 579,070 NSH,IL,Hyundai-Accent License #: 070 NSH,14851,5736,6611
Mitsubishi,Mirage,sit,PS70 VGBP J3LB IHMF KPUZ LQ8G 6OEK D,921 EGS,NC,Mitsubishi-Mirage License #: 921 EGS,9270,9036,5271
Volkswagen,Corrado,elit,MK98 7077 VEIG 1G8O L95,359 KYM,FL,Volkswagen-Corrado License #: 359 KYM,8265,9985,8029
Mitsubishi,Tredia,nam,FR22 8594 3427 80FJ MSNV NDVX X13,645 SBX,IN,Mitsubishi-Tredia License #: 645 SBX,12010,9173,6733
Saab,9-3,blandit ultrices,KZ48 590D TS2N Y2YK ZN3E,062 BOH,IN,Saab-9-3 License #: 062 BOH,17719,2493,17585
GMC,Savana 1500,adipiscing,MC51 5558 7527 82DU NFPL 3YT1 813,490 GQP,NY,GMC-Savana 1500 License #: 490 GQP,8255,5815,16579
Mazda,Mazdaspeed 3,pede ullamcorper,MR08 8521 3618 4793 6283 3432 469,331 RQV,OH,Mazda-Mazdaspeed 3 License #: 331 RQV,9646,16310,9798
Volvo,C30,sit amet,FO18 0373 2095 4879 94,602 BRS,NV,Volvo-C30 License #: 602 BRS,16320,11686,4666
Ford,Probe,elementum in,PS04 RWGW 7NPT DNIP 9KL9 RKPS MOWA D,958 IHP,FL,Ford-Probe License #: 958 IHP,19341,17308,19637
Volvo,V70,enim lorem,TR77 2669 2N1U J1A6 VZPW ZSCC IV,002 XKS,AZ,Volvo-V70 License #: 002 XKS,13623,12103,16438
Dodge,Ram Wagon B350,quam suspendisse,BA18 1333 5124 0206 6875,383 HZI,NY,Dodge-Ram Wagon B350 License #: 383 HZI,6813,6177,17666
Kia,Sportage,elementum ligula,BR91 3589 2568 4637 0398 3408 841C 6,745 CSE,CA,Kia-Sportage License #: 745 CSE,2659,6084,15378
Saturn,Relay,nullam,KW85 ZRFW WN5D A1S2 DAL7 DMBF QGSK 9Z,165 SZH,TN,Saturn-Relay License #: 165 SZH,19958,11413,3872
Mercury,Grand Marquis,mattis,PT45 8765 2435 2001 5185 0121 0,400 VHW,VA,Mercury-Grand Marquis License #: 400 VHW,3786,2974,9716
Cadillac,DTS,libero,KW61 JXAY MDFI MP5J OTAU NQD7 B9ZQ JX,754 ELZ,CA,Cadillac-DTS License #: 754 ELZ,8199,4058,19407
Suzuki,XL-7,sapien,MD56 BX1H RNC8 ZOKC 8DIL CCV3,792 TNB,NY,Suzuki-XL-7 License #: 792 TNB,19230,7522,15304
Saab,9-5,phasellus,BR29 9186 6380 7614 7268 5025 202B 5,178 WJL,SC,Saab-9-5 License #: 178 WJL,16801,7022,17809
Land Rover,Discovery,molestie sed,FR06 3337 6756 87XR NFWU VXJ9 W98,522 SLR,IL,Land Rover-Discovery License #: 522 SLR,3328,4973,3309
Ferrari,458 Italia,lobortis sapien,CZ25 4007 3315 6519 2583 4920,497 LIF,CA,Ferrari-458 Italia License #: 497 LIF,12869,18993,13011
Volkswagen,Scirocco,ac,GE30 VR16 3606 9365 2806 52,120 JZV,WV,Volkswagen-Scirocco License #: 120 JZV,14930,5061,8355
Chevrolet,Astro,ante vel,BA08 3310 2837 0198 8649,503 ZUP,PA,Chevrolet-Astro License #: 503 ZUP,16517,16502,10922
Hyundai,Santa Fe,porttitor,ME70 3998 1640 4018 7793 29,349 YGJ,CA,Hyundai-Santa Fe License #: 349 YGJ,12231,2280,16343
Ford,Explorer,amet,EE96 6399 4176 7892 4784,908 NMX,SC,Ford-Explorer License #: 908 NMX,12070,15552,5372
Toyota,Paseo,luctus,FR33 4462 4447 22RZ IX5U DLVT 473,988 KLO,TX,Toyota-Paseo License #: 988 KLO,7134,19147,15526
Dodge,Avenger,praesent,FO05 0277 1228 8332 40,213 PCV,KS,Dodge-Avenger License #: 213 PCV,7311,11207,19785
Pontiac,1000,velit,EE15 7793 7351 8083 9485,857 SWV,FL,Pontiac-1000 License #: 857 SWV,17077,6292,19356
Dodge,Ram 1500,ac,IL11 3424 5080 2705 5972 843,111 YHU,NY,Dodge-Ram 1500 License #: 111 YHU,11724,14700,2378
BMW,7 Series,mi sit,VG81 HHDQ 6605 7827 9892 3623,086 OUY,OH,BMW-7 Series License #: 086 OUY,5458,5752,2474
Ford,Focus,consectetuer adipiscing,RS96 1477 9168 4217 4996 09,532 PAQ,OH,Ford-Focus License #: 532 PAQ,16990,10350,7643
Chevrolet,Colorado,ut dolor,FR63 2577 1961 33YH 3JXB KLZP 526,269 TYW,FL,Chevrolet-Colorado License #: 269 TYW,15200,6166,17054
Land Rover,Discovery,augue luctus,KZ22 6614 P4WB XX0M W5XE,780 JMW,TX,Land Rover-Discovery License #: 780 JMW,2798,5179,4609
Ford,F350,enim,AL58 0994 1844 VRAF 9ZSO SZ5Z SI5D,495 YUG,OK,Ford-F350 License #: 495 YUG,3116,17791,18279
Ford,Transit Connect,elit,TR81 9901 5B4U KBMA RZDP L9TA 3G,267 NUZ,OH,Ford-Transit Connect License #: 267 NUZ,9869,5434,11644
Lincoln,Town Car,morbi,GE32 JB38 1276 2642 6654 71,674 PAX,TX,Lincoln-Town Car License #: 674 PAX,19119,12148,19472
Jeep,Grand Cherokee,nisi venenatis,SK12 7373 8469 8621 6139 5857,773 UMA,WV,Jeep-Grand Cherokee License #: 773 UMA,19761,12577,8117
Cadillac,Seville,maecenas,HU40 0082 6718 5886 7609 0882 2737,636 AQL,NY,Cadillac-Seville License #: 636 AQL,5566,14534,6326
Acura,MDX,vivamus in,BE29 0040 6105 1532,138 NVH,DC,Acura-MDX License #: 138 NVH,3181,9778,12886
Ford,F150,lacus purus,SA23 96BW GCPP TKGJ 8FAC XWXJ,367 PJK,FL,Ford-F150 License #: 367 PJK,18565,19937,8765
Mercury,Mountaineer,lorem,SE91 2969 1064 9934 3039 8071,306 ITN,CA,Mercury-Mountaineer License #: 306 ITN,17981,6475,15523
Cadillac,XLR,velit id,AL84 0998 0462 LIDA FS6B IE6M QQTD,108 EMV,NY,Cadillac-XLR License #: 108 EMV,15950,15491,5349
Mercedes-Benz,M-Class,in,GT13 RHV9 5BNC 9L7N BVRP MAVC 6Z7W,285 PAD,ME,Mercedes-Benz-M-Class License #: 285 PAD,11792,2700,17050
Mercury,Sable,dis parturient,FR93 0992 1378 72GB AY6X YPNQ Z43,865 CQS,TX,Mercury-Sable License #: 865 CQS,4280,11112,5389
Oldsmobile,Bravada,maecenas,FR31 8502 9198 54ED V5MV DUDT D28,450 ENV,NE,Oldsmobile-Bravada License #: 450 ENV,3679,10624,18861
Dodge,Avenger,ut nunc,CY21 9429 8490 6U1O RRQZ BUOX BC46,271 OEJ,TX,Dodge-Avenger License #: 271 OEJ,6852,6344,16068
Chevrolet,Astro,orci,SA69 51ZB U8XU J8CE G6AI BNJ6,195 TEV,NM,Chevrolet-Astro License #: 195 TEV,7516,10920,9120
GMC,3500 Club Coupe,libero,FR62 1305 3568 02SX PX22 CSPB L35,356 HPN,AL,GMC-3500 Club Coupe License #: 356 HPN,16104,2908,12562
Honda,S2000,non mi,FR47 8420 8396 64QR WTK3 YTTN H89,155 QKF,AZ,Honda-S2000 License #: 155 QKF,13501,11210,7964
Toyota,Echo,et eros,NL57 KDCR 7078 6139 74,048 ELX,NY,Toyota-Echo License #: 048 ELX,2884,6525,6152
MINI,Cooper,nulla ut,BR62 6071 3418 5325 3684 1481 058H 3,222 HTQ,CO,MINI-Cooper License #: 222 HTQ,17529,11722,3373
Citroën,CX,ante vel,GR15 3352 705Y UG2X CIAU SULX OAE,048 BIS,FL,Citroën-CX License #: 048 BIS,13181,14729,15256
Nissan,Versa,justo,PS15 ICMF XEQI TWWM 31OD DA08 UIMU N,965 UCL,TX,Nissan-Versa License #: 965 UCL,7743,9970,8826
Cadillac,DTS,eros,PL28 0428 5335 5420 7821 0591 5127,793 ATI,NJ,Cadillac-DTS License #: 793 ATI,3648,19996,18722
Nissan,Maxima,fringilla rhoncus,LV19 LMBI UXH9 YZDO 7BD3 2,429 HJB,SD,Nissan-Maxima License #: 429 HJB,4888,9163,5920
Chrysler,Town & Country,eros viverra,AL80 5665 4111 BNAE MS6A YXFT IDFE,977 ITQ,CA,Chrysler-Town & Country License #: 977 ITQ,4586,15744,4962
Audi,Quattro,nisi eu,FR48 7466 1406 68VN RMRJ YOWI T52,452 ZTK,TX,Audi-Quattro License #: 452 ZTK,12485,7490,2334
Chevrolet,Suburban 2500,sapien,GI52 TCYZ PQAN EGAE GYLF RUK,224 ODC,TN,Chevrolet-Suburban 2500 License #: 224 ODC,12583,12025,7415
Volkswagen,Jetta,ac nulla,TN81 6682 4394 9707 6965 6588,871 WRT,CA,Volkswagen-Jetta License #: 871 WRT,8286,6244,9541
Bentley,Continental GTC,ultrices,FR38 9336 8666 054W XDR7 MWU4 Q03,664 LQE,MD,Bentley-Continental GTC License #: 664 LQE,8834,2630,16743
Chevrolet,Corvette,ultrices posuere,LT79 2015 3687 0109 0844,293 NOQ,CA,Chevrolet-Corvette License #: 293 NOQ,13985,10587,8154
Porsche,Cayman,luctus et,MT49 ZHAP 4340 8MSL OCYL 4IEO J0YI EHU,243 OLZ,TX,Porsche-Cayman License #: 243 OLZ,12421,3877,19252
Pontiac,Trans Sport,rhoncus aliquam,KZ49 1993 A1DP SXA9 CKJV,485 RCI,FL,Pontiac-Trans Sport License #: 485 RCI,7093,14578,9531
Lincoln,Continental Mark VII,lectus pellentesque,RO20 IXMV 5NY2 A6GQ IMQX KL5Y,761 FAD,PA,Lincoln-Continental Mark VII License #: 761 FAD,8386,16063,17165
Ford,E350,elit,SE76 4154 2725 3015 5897 0575,423 CDT,NY,Ford-E350 License #: 423 CDT,2213,4116,13871
Saab,900,ac tellus,CY86 2915 5276 QJAK OHCF MEFW DRQZ,214 HOL,CA,Saab-900 License #: 214 HOL,7443,16980,3833
Aston Martin,DB9 Volante,metus,GI57 ZUYD LSI1 CAGO DQL0 QS3,726 CSP,MD,Aston Martin-DB9 Volante License #: 726 CSP,13399,2028,16222
